transaction_value,transaction_value,transaction_value,transaction_value,transaction_value,transaction_value
12356,13866,10857,799,11260,0
150,450,22963,11388,1449,11556
7696,12873,0,6449,4799,16390
1300,11980,14887,7797,8970,6578
13554,9490,11591,8508,13743,16960
0,15573,2799,6695,15844,13759
0,2596,0,8343,6145,6990
6895,3444,4694,6686,6946,14058
3749,19490,0,0,0,8592
0,0,0,0,6597,8691
7249,12742,3897,0,2650,19364
5292,4000,1999,1100,12696,15116
0,13821,9856,2598,12170,500
8299,2097,0,0,13910,3439
4745,0,2990,1598,9897,2388
7543,1895,10057,1199,9696,14598
10823,17018,11508,2000,12659,15085
16930,13894,0,27667,0,14055
16738,13577,19279,11044,15365,0
1598,7996,0,300,0,11769
17586,4500,15180,0,12600,12777
10288,2697,1898,20805,0,24357
6634,10864,5196,0,4789,2949
0,0,4130,0,18563,0
398,15688,7588,25422,9176,8780
13559,2048,0,3346,0,0
11481,24121,0,4696,14161,9082
0,1299,15342,1299,0,0
9176,3897,0,0,0,3980
3980,5098,2990,3196,4950,8696
0,10397,6677,9967,10541,23680
6541,25784,0,6494,5148,0
0,9174,0,5686,7393,12083
0,7296,9259,10578,18383,11165
19929,0,7279,0,0,398
0,0,0,398,13725,19726
5397,10193,0,0,14462,10186
10626,3749,2694,6319,8241,13891
14183,450,4899,6697,7481,1990
15343,0,3197,799,8177,0
8970,5187,0,1450,11094,11906
0,4093,10346,5970,0,2000
10788,10548,13936,16156,12018,5240
15719,0,0,14182,11506,10992
11970,0,600,8882,20347,0
13606,11552,15960,0,1950,10110
0,4299,12663,0,15687,9794
1796,450,0,12338,25729,11873
0,10859,3395,0,3496,13897
1299,10066,26922,0,1500,0
16062,1398,0,4995,6298,5039
7089,6500,13419,16574,0,11397
1748,0,4442,17763,898,0
0,8294,6848,4996,2398,0
0,9109,21347,24346,10158,19387
6400,11561,2000,11875,6799,9260
7697,12980,16388,0,27428,0
0,0,15985,9196,5296,5386
0,3598,20186,0,6717,0
10693,7642,11384,3797,5584,6093
4887,15960,17289,13585,3996,5795
0,2490,3796,0,1796,0
22154,6799,14391,0,1500,18119
12442,9093,5395,9558,0,0
1898,750,2698,11188,0,12559
9596,13446,5196,11970,12389,16441
13093,6936,17156,0,4495,10195
0,0,5196,20441,20110,14055
16446,1800,19894,4894,8995,0
0,16406,14548,11090,0,10055
5145,9666,22378,4347,9460,5896
6196,10577,5186,5545,2394,5646
14378,0,6196,6898,19872,11868
3596,8646,12141,10942,600,14384
25274,3640,1598,2600,13146,4694
4394,4130,6900,19840,11884,1999
14858,5692,14367,3000,11174,13886
4592,16076,6897,0,10696,3196
17017,4497,0,5578,0,9318
0,15156,0,9525,4296,24363
5794,0,15933,22159,21653,0
11153,0,4137,0,22650,6396
8480,11534,9558,12291,3194,6650
0,6025,3897,1500,13183,5845
4497,450,0,15058,0,0
11794,4045,9196,13358,14234,398
13617,9259,14922,1990,799,0
150,14892,11987,4500,0,11996
2100,0,7497,16269,4596,23232
8495,4087,0,3897,6991,0
16084,11952,2598,0,3098,14198
0,0,10791,6150,0,5376
2598,0,0,0,7960,1000
0,0,6289,0,10193,14867
12737,3394,10093,6996,2000,10836
16489,0,0,8260,0,0
3997,7000,0,13747,4398,3195
3897,0,0,3398,14756,9196
10438,7293,0,10892,7795,28044
1500,6000,5995,6592,7897,13818
13662,0,6377,13344,1300,14692
14080,5196,9994,7167,1896,18580
15282,11097,4294,22244,20720,0
0,0,8789,21688,0,0
2394,5743,500,6945,3500,3196
11561,0,1000,0,0,0
0,19766,18385,8895,6769,11686
0,0,11296,0,3497,23822
898,9196,21224,0,0,22466
15166,5875,13188,18167,0,0
6595,3697,0,0,0,6776
5197,24856,13527,0,5143,12794
0,6276,0,13590,0,2000
5395,3150,2597,9299,698,14054
0,8309,5794,0,0,25369
9590,14236,4295,2699,0,22068
3992,799,1500,10497,0,4500
7186,9474,22542,8480,20101,5186
8694,8986,9078,5970,9977,8847
8588,0,13269,2399,5000,3300
13390,18610,1500,8933,21053,0
0,0,349,0,5238,0
0,7398,7046,15007,12656,0
14392,17537,0,4789,1500,7480
12068,6766,0,946,12271,0
0,22656,7195,9559,1990,0
15480,16342,16178,0,20273,0
0,13689,6794,0,6150,6790
1898,11397,6690,2098,7295,2799
0,17503,398,10767,9676,18382
5696,6494,6470,1699,3196,6898
0,6195,0,3300,16658,11196
16196,7048,11470,7186,8766,8995
0,0,0,0,1100,0
0,7347,1946,5694,15393,9393
0,0,6876,12157,3898,8095
2598,2698,11687,4834,22986,5679
8598,0,6490,7897,15651,9329
12754,6588,600,1599,0,0
450,0,5480,7496,11656,6897
0,2894,16440,3000,13119,7094
7960,6000,14634,4098,13691,3888
0,3500,2796,0,4696,20109
0,0,12365,24947,1048,9026
0,0,8198,18970,0,0
7993,0,8744,17362,0,2598
9906,27452,6500,11157,3098,13756
0,4443,3496,9176,7836,4295
4786,11190,13693,0,5795,8578
3196,9375,7568,6595,22519,3897
0,9646,0,14867,0,6897
7683,10963,2897,9188,0,7589
4497,6894,0,0,12951,14292
0,13013,18550,0,14413,2100
14374,0,2898,12155,1500,2799
7182,14586,4500,0,0,0
2395,0,600,12356,11591,0
17970,0,0,15881,7598,0
0,18058,10943,9209,17756,9950
0,600,4992,0,0,20487
8272,0,13538,12338,24849,0
0,21803,9659,0,13709,2896
8897,15687,14239,9972,20833,18052
13176,0,6476,0,17361,8775
10393,5683,14681,5500,13490,8748
7389,0,6300,7869,9665,12326
8342,0,0,0,0,799
18768,25862,13184,0,799,16392
13612,6620,0,4295,2598,11166
0,4898,2397,0,24156,7118
0,5227,9895,9395,0,0
3396,2095,9198,10784,4096,1296
11386,6378,6783,2694,6570,11995
1950,9188,0,17265,0,5397
1300,6487,5595,0,11940,10043
398,13991,17002,0,8299,12121
3000,500,500,0,4246,0
4595,2950,11424,0,6450,14779
0,20659,0,8696,17152,0
13064,0,18425,9460,8397,3697
17651,3497,6490,2544,0,9120
0,9867,8196,0,7495,20849
13060,2490,15797,5429,0,7769
13992,3796,5384,3843,15711,16233
2097,6276,17497,0,0,10794
5085,6000,14394,0,11547,0
0,8336,17186,0,6944,0
4950,19942,11367,19892,14960,6744
4748,150,0,7970,7098,15166
0,12527,6699,450,11582,3398
6897,0,11397,8174,14676,150
8744,11249,6378,3896,8091,1097
0,0,6995,15858,0,10460
19826,0,1400,0,950,0
848,7697,23936,16045,9545,1898
14413,0,12894,4498,11506,9708
500,4293,0,6198,17988,11692
12791,8960,6193,8097,10476,9858
19611,5480,0,17117,13985,5185
22092,12669,799,4098,3199,0
0,12444,14020,6199,16728,7186
3600,10464,0,1990,12168,0
0,3098,6368,8444,8490,25308
17064,14396,14593,4789,0,1000
11687,15274,10295,4146,8578,19151
7785,1198,13457,12083,5692,3594
12613,7998,5742,5970,0,13639
8867,24539,6470,0,9389,11155
0,6686,10786,21034,4995,13986
2898,11940,15224,0,4693,0
0,5992,8600,398,7960,9185
7984,0,0,1000,9892,1650
9294,4497,7743,11766,10869,14018
15363,0,13961,9593,7093,7736
26377,600,1047,18208,9897,5949
11282,8692,6393,2697,9892,597
0,548,3000,10091,14632,0
1598,11190,20809,1990,23857,7197
0,3693,8593,9841,14065,5598
9825,12386,10276,8582,11168,13558
0,1296,12748,0,0,3980
13333,398,0,15146,6249,0
150,0,20230,3898,450,10023
1500,9943,300,0,3500,5587
0,18992,7444,7570,699,8196
6326,8759,6294,2689,8266,11179
5196,600,8196,8996,16373,8887
300,3646,10162,8789,3398,3994
7697,6444,5578,9559,2398,6396
6592,3195,9965,2296,7896,5184
3450,10279,6548,5897,10192,300
4500,15959,6795,12667,5575,8260
1547,398,18758,13254,0,18478
7950,20679,7578,0,1150,5196
1500,19148,12078,398,6420,14159
20649,6646,23008,0,4195,0
12659,0,300,0,12668,17354
9796,0,3950,3398,9800,3000
7960,10373,0,0,799,0
25304,6450,8490,5696,0,5992
597,18156,0,11594,0,0
0,6285,4589,8475,9892,3797
2898,450,597,15357,0,8485
9982,6000,4696,2300,13292,0
22602,0,6486,8828,11995,6393
3289,26604,4442,4495,12858,597
5299,8000,0,2000,0,18942
5480,3696,0,6097,11196,17003
199,0,12286,20261,20668,5996
18423,0,0,796,0,7093
2490,500,15440,1599,0,6746
0,10895,2147,12010,2046,0
16551,11586,17608,0,0,0
7579,16294,12265,12641,5196,5296
12363,7997,6638,16072,1748,16945
1998,15005,6970,20356,10938,8765
0,0,0,0,15377,0
0,0,0,2949,16237,2000
6766,11495,3346,14692,16817,600
12833,10116,0,4494,9083,6450
0,11646,8909,14892,22528,799
1990,15146,11007,15058,22940,10927
0,0,0,8990,3299,12187
1990,0,11857,0,10987,11394
1398,0,15063,0,7300,2598
8838,4787,3695,6397,799,0
0,21149,0,3496,3846,11191
9856,25539,0,0,1498,5196
15534,5594,11687,16946,22846,8397
0,22357,14189,20044,8995,8897
14096,9555,1796,8182,3195,0
12492,3796,11836,7500,23215,14346
0,0,10335,19648,0,12852
4695,4196,9898,1899,0,4779
1990,9844,19478,4397,14885,1650
0,597,0,13887,600,13008
10091,4047,1498,1598,9386,10759
13858,9094,7893,0,11800,799
14470,3346,13064,16392,6044,4347
2698,2598,11392,4897,10891,10492
8568,2246,0,8099,8598,10189
0,3299,4346,18367,22203,5946
2250,7960,7591,21990,15846,11470
0,7696,18353,5970,12742,0
13149,2000,12526,10492,20487,18485
13196,13983,1500,0,5088,3000
0,6120,8557,8992,19652,2598
10066,17377,9083,21301,2945,0
2397,12832,12495,12294,14049,22591
13068,11857,3980,9867,8769,1498
21655,7029,0,13527,8995,15862
21626,150,0,11465,5186,12055
0,12865,20455,6570,0,9131
7794,0,0,12772,12063,5196
7597,0,0,0,11030,13996
0,9392,0,6197,300,6769
12874,12842,5896,0,12063,5196
0,0,7617,7492,14482,0
17237,949,0,0,12595,0
5992,10793,26044,10296,16808,1990
0,17638,12485,2599,8187,6450
13149,398,7216,7598,0,2450
8686,4495,3645,13398,12392,0
5897,597,0,11970,8693,2397
8000,0,0,398,8989,26222
5990,0,5496,3498,11692,12473
2896,5793,0,11645,7960,10764
18039,10895,20067,4800,3599,10094
7420,0,5679,4149,3980,0
7590,7094,5296,9230,16204,0
11244,1742,7477,13047,19017,0
4897,12514,0,5598,0,0
13355,9842,16719,19455,9157,4430
5299,12267,6777,11799,4898,5183
6480,7749,6495,12591,10430,6877
12495,15255,4650,747,4495,0
18642,10207,0,3897,6000,0
0,19113,0,0,0,19251
9570,0,7042,5342,0,4047
5930,20940,11108,2995,5297,1699
5887,0,6169,13372,4896,0
548,8548,1998,7669,0,500
0,3795,0,0,3897,14671
15179,9292,23722,0,24165,9380
1500,7197,2045,2847,0,0
8176,8392,3897,14944,8093,8377
2097,0,7176,9980,5496,2598
19596,8598,15005,8390,0,7026
9885,8878,0,14544,4950,0
8000,13361,12190,0,9017,6095
11857,11038,12656,7960,0,0
7894,0,300,5799,12551,12761
7420,1796,11970,10277,13087,6176
12746,6098,398,5992,6496,13197
11550,16092,799,9956,3196,398
9192,0,9356,2490,5789,1399
6000,8367,7390,1150,4990,9696
15567,1499,0,13154,10068,6368
14385,15384,2345,17852,10755,14114
998,799,15060,7565,15151,0
8696,18904,5388,0,5746,6720
7299,14970,0,3394,0,16355
7243,5591,12951,10996,0,17500
3087,13206,14293,4696,4696,0
20962,3496,5945,7976,2397,4899
0,11706,6543,0,0,14219
10392,13568,4537,0,17008,0
0,19196,8000,8662,11375,1096
2894,14673,9867,9945,0,10780
0,16275,2149,23868,0,12953
2848,1898,5196,0,11849,6686
18881,0,5196,21722,0,17667
0,5042,6000,12255,17354,7269
0,747,1990,8497,19073,1500
0,14855,11481,11691,7489,2988
16954,0,4430,3000,0,3150
0,8568,5094,10269,12567,999
13588,14442,5823,0,15544,11854
0,17554,10936,0,11266,3199
3394,0,0,3000,0,8590
450,13076,18549,0,10274,13463
0,0,10489,1000,3992,12956
4789,0,2496,0,9941,16038
10946,2000,23029,2795,3897,4187
0,10776,998,0,12595,7199
0,7567,15000,12547,7296,6244
13897,1000,7196,8769,0,10378
12191,6130,7149,8397,12205,6818
10858,16066,3196,11728,8000,0
11169,0,7086,10789,12689,14552
0,19552,796,11763,16152,0
19406,6187,4987,15295,2748,2598
14977,6745,13088,7848,0,0
14533,0,199,5894,0,18626
9892,11893,2296,2400,6445,12281
1749,5000,9460,2598,15360,16793
14115,0,199,4696,7596,5794
15375,4696,0,18390,0,0
30280,10884,9897,5400,19287,14791
10318,7424,0,30716,0,8068
16027,8169,10208,0,597,1299
0,14455,0,16149,5729,3289
3099,3500,7338,0,6582,11166
7694,0,8756,3450,2896,4280
5791,0,10759,7494,0,19600
0,18437,10691,6590,11186,0
3548,0,11594,23499,17291,13158
15744,12616,8892,7299,0,0
6131,3799,27627,0,25052,17253
7178,0,998,13391,5980,12857
9757,0,6392,6393,0,6123
14621,7960,10390,16306,2847,14096
6677,13475,5982,10693,0,0
8686,1500,10857,7419,7644,0
5198,7449,10265,5944,0,0
10854,6931,796,2496,0,0
9136,6490,20967,6570,11594,7292
19530,0,9289,4844,31252,10558
0,12973,0,8376,6544,0
0,9386,12849,199,4643,8992
10317,4897,9694,8480,6187,7177
9420,7495,0,1500,26240,13857
3194,15553,12652,6946,0,0
8598,2048,0,9784,0,3195
7067,7325,19044,14159,7391,3848
11690,14490,10078,1799,0,1600
11306,2697,11359,600,18601,16593
23076,5194,10807,9726,0,8846
2397,2898,13572,23366,0,9045
3992,3450,1799,14952,10984,5646
7098,2397,16307,9293,2587,10929
0,3795,15920,2590,22089,5970
0,16527,7697,6796,6368,10857
9696,3596,11573,0,16656,0
9142,3289,3548,7590,17355,3980
450,398,0,0,14697,1650
0,3799,4792,11857,0,0
13093,9950,9190,9583,9960,19442
796,5994,18231,13756,9196,22347
3345,15261,9068,0,4800,0
15703,0,0,9396,0,5794
796,6897,8077,24633,1898,5088
11896,16167,24247,4189,0,22934
0,0,23651,7779,5196,7899
9591,21363,0,0,15058,8296
0,11909,0,6794,796,4500
7096,11422,16998,6600,14836,12383
17860,3146,11696,0,10795,1500
6000,16338,25018,9098,12341,21751
1498,4047,0,11358,10256,18789
799,4696,11656,10218,12744,2897
4299,11373,0,11093,11674,15190
0,0,23230,9697,6892,0
3095,6000,10414,0,2797,0
500,14794,10564,6000,12074,17393
5392,4494,0,0,1990,0
1299,12165,1990,17764,26117,0
1600,4295,4950,25649,0,0
5243,16612,16472,0,10667,5100
4599,12342,6500,0,19361,14572
14767,0,0,5878,7289,8650
5970,7680,3585,17975,15955,8198
4595,14572,0,11358,0,0
0,796,28332,8776,0,0
4895,0,4500,6000,18042,4693
21699,7960,7783,0,10492,11554
1946,17610,0,6978,7960,15468
11440,0,2590,18755,0,10387
11743,0,3585,3000,8190,6593
2199,0,6691,17521,3195,0
0,3000,3990,0,0,998
4577,0,3694,9416,15542,2398
10091,8547,8796,13754,10891,9326
1748,14568,11155,3396,0,14149
6294,6668,0,6000,19563,7769
600,0,0,0,5097,7740
0,13355,6293,5300,0,17728
12196,9568,0,15220,7982,6000
5595,9000,10822,9296,5037,5981
14083,7496,8716,0,2946,0
14947,13970,0,10422,6000,5334
9814,11292,14717,0,6000,0
597,15274,2996,4695,17598,796
0,5997,398,7495,1598,4495
7996,5397,28252,5092,19843,9290
2398,13692,0,12475,11558,3396
16252,1300,7897,0,9389,1100
2296,8097,0,0,12699,0
0,6496,17819,11496,1299,20084
3898,9980,4196,5196,3196,7249
0,4299,11008,2000,3894,9877
10120,11186,1000,12594,21619,14423
2397,3800,4797,14950,17787,0
0,0,8139,0,0,12970
7638,8728,12706,7578,9444,11084
22512,3949,0,16153,0,10115
3598,15397,0,0,24693,0
8688,32390,14990,0,11279,0
9166,23174,7644,3000,7920,800
11922,6450,0,11466,0,17594
7689,398,0,0,6897,15651
14848,10495,0,10494,0,0
21554,4950,2000,17534,0,0
1500,5896,14379,4293,0,3099
0,2596,11644,0,5897,0
8346,0,2847,0,0,7478
0,11391,4299,0,20212,0
600,0,0,1000,8898,9492
5970,0,5594,6698,10357,9317
15641,0,9555,10709,3897,12659
9276,4548,0,11166,12356,11047
10708,14474,4696,10293,11243,12174
2045,0,8289,0,0,1693
12234,5688,7500,4796,10676,13890
7982,6996,3897,12157,398,12491
0,17920,6742,0,13470,4500
0,15791,17307,15690,12294,7465
7591,15877,18440,3000,7985,1990
13696,3248,17158,0,5793,4496
7096,0,9972,3980,16193,5196
9895,0,499,7500,20643,799
15439,6620,12376,13695,12454,4292
0,17260,5893,6769,0,0
2097,0,11691,7960,14355,23136
0,0,13790,2000,11795,4491
3599,9855,7516,4785,0,11208
5594,15233,5490,12088,18353,22950
0,1100,8790,7289,1299,20944
15457,8695,19848,10055,9975,2697
4600,4586,1649,3098,9196,18588
398,12456,2499,16265,22142,2000
0,9890,19862,2247,9167,2391
11281,13563,12007,7696,12124,10988
0,5696,18859,13583,5478,6978
14264,0,0,3600,8239,0
5140,12578,500,1500,0,10979
0,11368,10958,0,0,0
16642,17067,0,0,29312,6938
8769,11193,16486,0,0,3795
14673,0,0,0,0,21124
6968,7646,3048,23458,0,8693
1299,17233,12646,5796,5143,20274
8297,4296,17091,12288,9196,16445
0,20796,1500,1548,10100,8292
11791,3600,0,18890,8244,16849
11196,0,16313,11496,0,0
2000,597,3248,0,7897,0
5997,0,19160,0,0,5847
0,13595,0,6086,11697,6199
3899,1000,0,5645,7327,2888
3598,0,6799,1896,9519,0
2049,6044,2699,0,11095,0
0,1998,12033,3689,600,300
7282,13654,6649,9564,1500,7491
9980,5970,9482,1449,10423,7323
0,0,0,2249,4537,9189
7736,6498,2198,17309,0,0
9168,0,0,11058,6548,5446
10646,0,0,3195,9485,1100
1598,150,0,7478,0,8195
4650,0,0,15554,3349,10193
14367,6297,4598,0,0,14960
0,0,14207,5336,15156,9094
0,23379,7146,3995,0,0
9816,4087,10245,10397,7934,0
19685,9696,9867,3950,14096,28548
21022,12547,19177,18337,4397,20990
0,8897,0,15056,1896,6578
949,21265,1096,2198,3697,0
7196,4847,0,11083,14563,0
799,2000,15063,15738,13655,11267
15076,0,8076,11857,4897,0
0,12875,8410,0,14186,7470
15594,8373,7568,16562,6389,13907
11847,8696,2100,12468,11441,15506
0,5243,12460,15656,0,0
2694,19992,11598,6146,0,0
7797,300,5970,9196,7368,0
8593,13498,6487,946,10729,9960
0,0,17665,0,6246,3193
9136,0,0,3248,3150,17507
12500,10357,0,0,11196,2095
5397,11794,1500,10189,4197,2397
5897,3496,0,0,14818,5241
6398,4500,15739,747,0,3697
21457,0,12397,848,10371,0
6044,0,649,1450,15348,12007
0,11857,0,1149,5729,0
3196,17646,7450,0,9766,0
16328,6998,3689,13666,3747,11522
0,0,0,9419,0,6387
6076,5496,14254,5694,17487,0
0,5887,2100,12357,0,0
3980,15182,3346,6094,12960,11010
0,19450,15255,4096,8898,12494
13756,0,21383,0,30033,19226
1749,8991,0,0,0,13679
13305,0,7500,0,0,0
11796,17754,13960,8392,8094,6794
1000,2748,1500,7946,14307,6839
9235,5942,17491,0,2296,3980
16280,1950,9057,13995,10643,14254
8567,18253,0,2000,4047,24056
8246,0,8994,13990,13357,8159
0,0,5791,0,0,7270
0,0,2597,13378,9623,0
7793,3796,11616,3696,0,0
8110,0,12781,1647,14838,11857
8676,7597,10259,7498,3296,0
7769,16173,150,6990,0,8783
1299,3397,0,0,13807,12492
0,349,10687,4197,11558,12674
12775,8182,6998,0,15063,23258
11495,3196,10259,8888,6249,8794
15420,0,8694,1500,6075,9898
0,0,14367,12713,10145,12816
4397,0,0,2997,18246,4799
2000,0,0,0,0,9167
0,20186,2140,9098,6244,24158
0,5492,16316,0,9393,27969
19774,199,23548,0,6368,5379
9190,6968,0,0,2898,18764
0,19230,0,16103,5793,10183
29023,4494,10497,22744,1299,13314
0,14954,14330,0,4779,5695
5147,10766,3493,0,11094,0
9735,10437,2598,16064,0,0
0,7228,3150,1500,7197,4897
18751,0,3000,11786,19050,14291
0,1697,0,17186,25811,0
16511,0,1500,0,4295,23112
11888,8842,0,0,7960,11655
0,2990,19490,0,12899,0
11187,0,0,600,2799,0
0,5978,0,500,6270,597
2994,15257,5497,4000,1399,5774
12055,0,7241,0,15705,1000
0,0,21479,0,0,21068
6490,9269,10595,2000,6495,17219
3898,9093,4500,14065,5195,0
7398,747,0,2346,2297,15849
20587,9584,2000,10445,12283,15089
7960,0,10383,5970,1990,18511
0,1500,11956,0,1449,10459
0,8128,0,8578,9383,18264
0,6085,7990,2397,8410,15939
5293,14367,3193,0,0,0
6245,0,3397,8547,14352,0
7991,19861,12794,19445,0,849
0,3894,450,0,2000,6270
18989,12873,7796,13088,0,11279
300,4699,7960,5296,6093,24158
13227,5397,10726,16090,12558,11266
946,7960,0,8860,0,8093
3980,0,0,3197,0,0
0,0,12578,16297,17914,7078
0,28714,8646,18171,9458,597
0,14655,3099,11388,0,8392
10269,17157,18248,16367,17053,11762
0,13116,7990,14358,10215,6891
16940,17868,0,4494,1598,11995
0,2598,13872,5196,0,13553
11723,0,10460,9283,12146,12066
9495,7094,3000,4800,9848,3490
2000,10808,12562,0,14464,0
0,25400,8480,4488,1000,1598
17347,0,0,6888,16935,1000
11159,4480,5038,6677,14759,0
1600,1299,9795,0,19657,19483
0,11372,0,5279,16527,6968
6993,1595,10166,15857,0,19248
1000,15789,150,0,0,8046
13746,9444,3694,0,0,27881
10693,5096,12390,0,10558,14483
9686,0,21542,0,7397,2994
19555,4098,10773,27608,0,10620
17847,500,18607,3346,8244,11796
0,9295,2393,9766,0,0
0,2995,0,15393,4346,0
0,11226,4577,10981,0,1000
7594,3000,1299,597,8146,5982
3897,1299,6898,2847,4198,1990
6145,2799,1299,7147,14356,150
398,0,0,10657,12385,11300
0,0,0,0,1300,0
1449,10794,14148,16361,2394,0
0,18819,10688,11493,0,4696
40008,8346,5794,0,10868,10014
18288,10078,0,5337,2587,0
3980,9600,15743,8989,5229,7996
6172,0,10930,8696,11857,10334
0,0,3799,4895,6299,0
7934,12762,14973,0,10057,10843
8777,0,15105,8243,14989,1990
0,7294,2500,16875,7196,0
13196,9093,199,0,0,0
13965,4500,6597,0,23733,2397
6886,6487,9076,7960,9693,300
15409,3844,9892,4348,6791,21549
12269,7498,7620,3598,5495,8966
8786,0,0,2450,0,8548
8686,0,7028,3980,17498,0
14157,17376,11995,18940,10189,1299
15372,9980,11042,14095,3440,3048
0,7297,8590,0,13383,17238
0,14892,0,4197,19139,2490
18684,10073,0,4696,0,8038
13093,4898,7495,0,12843,0
15558,10960,8196,2598,3980,12666
5992,13773,6374,2898,3694,0
14656,15166,0,0,4688,0
5236,5097,1650,2645,6887,11877
9895,10279,0,0,3799,18294
0,0,0,450,0,5970
8868,0,26570,17269,5992,6549
0,5390,16570,1299,7276,1899
0,16382,2749,5550,500,14260
12956,13986,12460,13146,2450,0
10783,398,9982,10374,14073,8068
0,5970,8097,5299,3189,0
0,3299,2199,3897,0,7280
9542,0,7676,12043,0,0
11995,3796,12666,6592,0,0
2397,9244,6046,5970,16663,11696
6191,2199,0,9696,949,9867
0,2000,7876,4096,19480,0
5646,4500,2598,6600,2598,12400
15449,8368,3548,18293,0,13341
5985,5898,12673,9090,0,17046
20245,15137,0,0,4096,7897
9196,3897,0,12692,16452,3696
0,7176,0,0,796,2096
6093,5997,0,0,12278,0
0,7199,950,9696,8917,5748
3898,11764,5687,17286,4387,6791
0,6000,0,7299,0,3649
12803,0,6087,2598,1500,2197
0,3598,0,17498,3394,10280
9215,5786,10598,2189,3980,7134
5970,2195,0,0,0,0
0,15496,0,11964,8690,5547
14045,7296,0,0,2887,14689
9993,0,15053,3548,0,3289
5397,6950,6769,11176,799,19963
4700,0,10038,4329,3395,5183
0,0,14358,8799,0,17458
3198,8877,6150,0,11636,0
8593,848,6496,8084,10787,7387
300,0,9992,10382,8348,0
11395,20241,4195,2898,6134,17456
2300,0,13751,6947,3996,3696
8392,1799,5646,6000,11870,4889
0,0,19592,1950,10765,3000
16666,5496,0,2394,5796,0
20191,0,6040,150,18920,3300
8760,10346,3000,20320,16318,0
11095,6698,16892,4598,6899,15259
9691,450,2097,4295,9960,19090
0,2388,0,3189,0,8698
10394,25105,19166,398,17358,0
2290,17943,11671,9100,2048,2490
